STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; STRUKTUR_VERSION; STUNDENSUMME_SONNENSCHEIN;eor
  2667;2014110920;  10;  37;  0.00;eor
  2667;2014111003;  10;  37;  0.00;eor
  2667;2014111004;  10;  37;  0.00;eor
  2667;2014111005;  10;  37;  0.00;eor
  2667;2014111006;  10;  37;  0.00;eor
  2667;2014111007;  10;  37;  0.00;eor
  2667;2014111008;  10;  37;  0.00;eor
  2667;2014111009;  10;  37;  2.00;eor
  2667;2014111010;  10;  37;  0.00;eor
  2667;2014111011;  10;  37;  0.00;eor
  2667;2014111012;  10;  37;  3.00;eor
  2667;2014111013;  10;  37;  0.00;eor
  2667;2014111014;  10;  37; 21.00;eor
  2667;2014111015;  10;  37; 55.00;eor
  2667;2014111016;  10;  37; 31.00;eor
  2667;2014111017;  10;  37;  0.00;eor
  2667;2014111018;  10;  37;  0.00;eor
  2667;2014111019;  10;  37;  0.00;eor
  2667;2014111020;  10;  37;  0.00;eor
  2667;2014111103;  10;  37;  0.00;eor
  2667;2014111104;  10;  37;  0.00;eor
  2667;2014111105;  10;  37;  0.00;eor
  2667;2014111106;  10;  37;  0.00;eor
  2667;2014111107;  10;  37;  0.00;eor
  2667;2014111108;  10;  37;  0.00;eor
  2667;2014111109;  10;  37;  0.00;eor
  2667;2014111110;  10;  37;  0.00;eor
  2667;2014111111;  10;  37;  0.00;eor
  2667;2014111112;  10;  37;  0.00;eor
  2667;2014111113;  10;  37;  0.00;eor
  2667;2014111114;  10;  37;  1.00;eor
  2667;2014111115;  10;  37;  3.00;eor
  2667;2014111116;  10;  37;  0.00;eor
  2667;2014111117;  10;  37;  0.00;eor
  2667;2014111118;  10;  37;  0.00;eor
  2667;2014111119;  10;  37;  0.00;eor
  2667;2014111120;  10;  37;  0.00;eor
  2667;2014111203;  10;  37;  0.00;eor
  2667;2014111204;  10;  37;  0.00;eor
  2667;2014111205;  10;  37;  0.00;eor
  2667;2014111206;  10;  37;  0.00;eor
  2667;2014111207;  10;  37;  0.00;eor
  2667;2014111208;  10;  37;  0.00;eor
  2667;2014111209;  10;  37;  0.00;eor
  2667;2014111210;  10;  37;  0.00;eor
  2667;2014111211;  10;  37;  0.00;eor
  2667;2014111212;  10;  37;  0.00;eor
  2667;2014111213;  10;  37;  0.00;eor
  2667;2014111214;  10;  37;  0.00;eor
  2667;2014111215;  10;  37;  0.00;eor
  2667;2014111216;  10;  37;  0.00;eor
  2667;2014111217;  10;  37;  0.00;eor
  2667;2014111218;  10;  37;  0.00;eor
  2667;2014111219;  10;  37;  0.00;eor
  2667;2014111220;  10;  37;  0.00;eor
  2667;2014111303;  10;  37;  0.00;eor
  2667;2014111304;  10;  37;  0.00;eor
  2667;2014111305;  10;  37;  0.00;eor
  2667;2014111306;  10;  37;  0.00;eor
  2667;2014111307;  10;  37;  0.00;eor
  2667;2014111308;  10;  37;  0.00;eor
  2667;2014111309;  10;  37; 24.00;eor
  2667;2014111310;  10;  37;  0.00;eor
  2667;2014111311;  10;  37;  3.00;eor
  2667;2014111312;  10;  37; 43.00;eor
  2667;2014111313;  10;  37; 60.00;eor
  2667;2014111314;  10;  37; 59.00;eor
  2667;2014111315;  10;  37; 38.00;eor
  2667;2014111316;  10;  37;  0.00;eor
  2667;2014111317;  10;  37;  0.00;eor
  2667;2014111318;  10;  37;  0.00;eor
  2667;2014111319;  10;  37;  0.00;eor
  2667;2014111320;  10;  37;  0.00;eor
  2667;2014111403;  10;  37;  0.00;eor
  2667;2014111404;  10;  37;  0.00;eor
  2667;2014111405;  10;  37;  0.00;eor
  2667;2014111406;  10;  37;  0.00;eor
  2667;2014111407;  10;  37;  0.00;eor
  2667;2014111408;  10;  37;  0.00;eor
  2667;2014111409;  10;  37;  0.00;eor
  2667;2014111410;  10;  37;  0.00;eor
  2667;2014111411;  10;  37; 49.00;eor
  2667;2014111412;  10;  37; 60.00;eor
  2667;2014111413;  10;  37; 12.00;eor
  2667;2014111414;  10;  37; 21.00;eor
  2667;2014111415;  10;  37;  5.00;eor
  2667;2014111416;  10;  37;  0.00;eor
  2667;2014111417;  10;  37;  0.00;eor
  2667;2014111418;  10;  37;  0.00;eor
  2667;2014111419;  10;  37;  0.00;eor
  2667;2014111420;  10;  37;  0.00;eor
  2667;2014111503;  10;  37;  0.00;eor
  2667;2014111504;  10;  37;  0.00;eor
  2667;2014111505;  10;  37;  0.00;eor
  2667;2014111506;  10;  37;  0.00;eor
  2667;2014111507;  10;  37;  0.00;eor
  2667;2014111508;  10;  37;  0.00;eor
  2667;2014111509;  10;  37;  0.00;eor
  2667;2014111510;  10;  37;  0.00;eor
  2667;2014111511;  10;  37;  0.00;eor
  2667;2014111512;  10;  37;  0.00;eor
  2667;2014111513;  10;  37;  0.00;eor
  2667;2014111514;  10;  37;  0.00;eor
  2667;2014111515;  10;  37;  0.00;eor
  2667;2014111516;  10;  37;  0.00;eor
  2667;2014111517;  10;  37;  0.00;eor
  2667;2014111518;  10;  37;  0.00;eor
  2667;2014111519;  10;  37;  0.00;eor
  2667;2014111520;  10;  37;  0.00;eor
  2667;2014111603;  10;  37;  0.00;eor
  2667;2014111604;  10;  37;  0.00;eor
  2667;2014111605;  10;  37;  0.00;eor
  2667;2014111606;  10;  37;  0.00;eor
  2667;2014111607;  10;  37;  0.00;eor
  2667;2014111608;  10;  37;  0.00;eor
  2667;2014111609;  10;  37;  0.00;eor
  2667;2014111610;  10;  37;  0.00;eor
  2667;2014111611;  10;  37;  0.00;eor
  2667;2014111612;  10;  37;  0.00;eor
  2667;2014111613;  10;  37;  0.00;eor
  2667;2014111614;  10;  37;  0.00;eor
  2667;2014111615;  10;  37;  0.00;eor
  2667;2014111616;  10;  37;  0.00;eor
  2667;2014111617;  10;  37;  0.00;eor
  2667;2014111618;  10;  37;  0.00;eor
  2667;2014111619;  10;  37;  0.00;eor
  2667;2014111620;  10;  37;  0.00;eor
  2667;2014111703;  10;  37;  0.00;eor
  2667;2014111704;  10;  37;  0.00;eor
  2667;2014111705;  10;  37;  0.00;eor
  2667;2014111706;  10;  37;  0.00;eor
  2667;2014111707;  10;  37;  0.00;eor
  2667;2014111708;  10;  37;  4.00;eor
  2667;2014111709;  10;  37; 36.00;eor
  2667;2014111710;  10;  37; 35.00;eor
  2667;2014111711;  10;  37;  1.00;eor
  2667;2014111712;  10;  37; 27.00;eor
  2667;2014111713;  10;  37;  9.00;eor
  2667;2014111714;  10;  37;  6.00;eor
  2667;2014111715;  10;  37;  1.00;eor
  2667;2014111716;  10;  37;  0.00;eor
  2667;2014111717;  10;  37;  0.00;eor
  2667;2014111718;  10;  37;  0.00;eor
  2667;2014111719;  10;  37;  0.00;eor
  2667;2014111720;  10;  37;  0.00;eor
  2667;2014111803;  10;  37;  0.00;eor
  2667;2014111804;  10;  37;  0.00;eor
  2667;2014111805;  10;  37;  0.00;eor
  2667;2014111806;  10;  37;  0.00;eor
  2667;2014111807;  10;  37;  0.00;eor
  2667;2014111808;  10;  37;  0.00;eor
  2667;2014111809;  10;  37;  0.00;eor
  2667;2014111810;  10;  37;  0.00;eor
  2667;2014111811;  10;  37;  0.00;eor
